Zip,Telephone,State,SSN,Name Suffix,Name Prefix,Mother's Maiden Name,Middle Initial,Last Name,Gender,First Name,Email Address,Country,Company Name,City,Birthday,AutoNumber,Address,Diagnosis
59888,607-930-8423,MA,211-31-8866,Sr.,Ms.,Joyner,Z,Abbott,Female,Taryn,ooawowi@ielqyfzkqf.com,Pakistan,Globo Gym American Corp,Irvine,5/11/1935,1670,2693 Third Avenue,lymphoma
30619,822-924-9761,OH,964-80-4119,III,Mrs.,Somers,F,Abell,Female,Kyan,tumviml@xljnxefccz.com,Saint Helena,Duff Brewing Company,Steilacoom,3/2/1995,1906,1795 Fourth Blvd.,obstructive pulmonary disease
10364,366-808-7051,IN,315-38-1143,Sr.,Miss,Hinojosa,D,Abernathy,Male,Deloris,crjytqz@agcxvjkeia.com,Holland (see Netherlands),Incom Corporation,Sugar Hill,7/5/1944,2956,2200 Third Road,munchhausen syndrome
44671,527-553-3457,CO,534-57-1700,Ph.D.,Dr.,Hancock,N,Abney,Male,Caitlin,dsagthh@svaupgpqpw.com,Yemen,Transworld Consortium,Taylors,9/8/1972,356,2358 Third Road,munchhausen syndrome
18380,745-628-7425,CA,425-77-9656,IV,Prof.,Woodcock,H,Abney,Male,Nasir,rstpele@zptzuqkmti.com,Palestinian Territory,U.S. Robotics and Mechanical Men,Lowell,6/12/1997,338,4688 Lake Blvd.,obstructive pulmonary disease
50507,366-640-5325,CA,681-30-6003,Sr.,Mr.,Gleason,R,Abraham,Female,Jerrell,ysinycd@mipdgwlese.com,British Virgin Islands,Sixty Second Avenue,Palestine,3/24/1997,535,702 Second Blvd.,mumps
99774,168-815-9259,CA,588-37-6732,II,Miss,Kelso,U,Abrams,Male,Gilberto,jhwjydv@harkpjszvf.com,"Iran, Islamic Republic of",Klimpys,Nashua,1/19/1946,1461,4482 Sixth Road,lymphoma
41893,416-592-8250,FL,230-35-3329,II,Mr.,Coles,Y,Abreu,Male,Rocco,xvhfuhy@kyxzupzfeh.com,Brunei Darussalam,Zevo Toys,Emmaus,3/18/1968,1711,1975 First Street,parkinson's disease
93778,304-721-7219,NY,856-61-8747,Ph.D.,Mr.,Elliott,E,Acevedo,Male,Iolani,bwsunmf@ntkmudchxe.com,South Africa,Roxxon,Port Neches,9/8/1978,2685,462 Main Circle,osteoarthritis
44392,500-560-2637,NY,258-26-6134,III,Rev.,Johns,Z,Acevedo,Male,Laney,knqvaoa@lcwacqznhb.com,Seychelles,Foo Bars,Reedley,2/1/2007,2063,95 Fifth Road,lymphoma
70224,787-331-6305,RI,354-41-4471,Jr.,Miss,Lamar,G,Acker,Female,Maude,eaxddnv@kkoihtuaio.com,New Zealand,Transworld Consortium,Waite Park,6/14/1956,291,1204 Cedar Circle,lymphoma
82236,721-479-3370,NY,413-74-5989,Sr.,Mr.,Burney,L,Ackerman,Male,Milford,noquktw@tufvgpdmod.com,Nicaragua,Tessier-Ashpool,O'Fallon,2/2/1958,2355,2822 Maple Blvd.,parkinson's disease
98851,835-123-7741,NM,209-86-1410,Sr.,Prof.,Lavoie,W,Ackerman,Male,Irene,rgacxsh@tvnoxptiog.com,"Korea, Dem. People's Rep.",Chasers,Plainfield,12/21/1979,575,1352 Eighth Street,lymphoma
95554,775-346-4758,LA,117-87-5546,M.D.,Dr.,Mcleod,G,Adair,Male,Tierra,kbmhacv@zzjdbzcvkx.com,"Gambia, the",Megadodo Publications,Temple City,2/27/1984,368,3581 Park Street,gastroenteritis
90610,729-581-9477,FL,520-30-8848,Sr.,Rev.,Caro,F,Adame,Male,Truman,tmqyqxi@zdqvukdojo.com,Serbia ,Spade and Archer,Ipswich,6/28/1941,2438,2314 Washington Circle,parkinson's disease
17018,169-298-4789,NY,728-75-7915,Ph.D.,Miss,Spaulding,K,Adame,Female,Melanie,homyxhm@qzqcgbxdwf.com,Belize,United Fried Chicken,Highland,9/11/2005,1334,2771 Washington Blvd.,obstructive pulmonary disease
44615,279-345-2798,MO,496-71-6322,M.D.,Miss,Burkholder,F,Adcock,Male,Delu,gxxrpyv@tdkklynwye.com,Armenia,Central Perk,Elk City,8/2/1980,1409,3218 Fourth Road,parkinson's disease
57783,601-187-3501,WA,207-78-3135,Jr.,Prof.,Sherrod,P,Adcock,Male,Lluvia,gextyef@gmmoonqkis.com,Heard and McDonald Islands,Allied Biscuit,Kirtland,2/11/1981,525,182 Oak Circle,obstructive pulmonary disease
55197,767-856-7543,WI,232-76-6826,M.D.,Prof.,Willis,S,Adkins,Female,Moses,zrkribh@dukdyizciu.com,Monaco,Tip Top Cafe,Vallejo,10/3/1997,662,2333 Eighth Circle,obstructive pulmonary disease
77603,960-708-6329,AR,665-68-7260,Jr.,Mrs.,Fuchs,T,Adler,Female,Farley,zvuhtxq@poqfunnpwo.com,Central African Republic,The New Firm,Redlands,9/17/1970,1247,2444 Sixth Road,mumps
33520,598-380-9680,AR,529-71-4946,Jr.,Miss,Huddleston,F,Agee,Male,Caleb,kirnxpy@artlquzeml.com,Libyan Arab Jamahiriya,Gadgetron,Great Neck,3/3/1956,1616,2455 Maple Street,lymphoma
52752,675-715-2949,IL,194-11-1141,II,Rev.,Salazar,T,Agnew,Female,Karina,bdyjdnc@iewueaflua.com,Qatar,Mainway Toys,Wallkill,8/18/2003,316,4207 Lake Road,eczema
58484,855-322-1802,WA,148-36-8702,III,Mrs.,Hewitt,I,Aguiar,Male,Izabella,muagnwr@afcebxuxxn.com,Morocco,SpringShield,Paris,9/13/1998,169,2432 Pine Blvd.,munchhausen syndrome
27798,789-771-8925,KS,949-62-3531,IV,Miss,Unger,D,Aguilar,Female,Eric,jkzyzuj@mwwdppthpf.com,Antigua & Barbuda,Extensive Enterprise,Berea,2/11/1972,2383,1224 Sixth Street,obstructive pulmonary disease
49863,305-318-9362,IN,858-45-5235,Sr.,Miss,Mauldin,I,Aguilera,Male,Kayleigh,piynhqh@zycuwcguxc.com,Togo,Taggart Transcontinental,Rose Hill,5/19/1948,646,2465 Pine Street,gastroenteritis
